x_coord,y_coord,green
163.3756477,102.360857,0.118301392
163.3756477,102.360857,0.095621745
159.5455959,124.7668212,0.114318848
159.5455959,124.7668212,0.074610392
147.3373057,179.3406841,0.200617472
147.3373057,179.3406841,0.09749349
143.7466321,201.0028818,0.221974691
143.7466321,201.0028818,0.15365092
143.7466321,201.0028818,0.221974691
143.7466321,201.0028818,0.15365092
123.6388601,245.907781,0.131739299
123.6388601,245.907781,0.104426066
110.7124352,271.1028693,0.105300903
110.7124352,271.1028693,0.152048747
104.3689119,299.7378775,0.100484212
104.3689119,299.7378775,0.202234904
103.5310881,324.7470242,0.1050059
103.5310881,324.7470242,0.20811971
98.26476684,349.1983461,0.127894084
98.26476684,349.1983461,0.198745728
94.43471503,370.6746022,0.137512207
94.43471503,370.6746022,0.169158936
89.64715026,398.3799023,0.187723796
89.64715026,398.3799023,0.241053263
61.04145078,589.4349079,0.125661214
61.04145078,589.4349079,0.364359538
57.69015544,606.0766821,0.126286825
57.69015544,606.0766821,0.306894938
51.58601036,643.2650044,0.083821615
51.58601036,643.2650044,0.183842977
46.67875648,663.4396692,0.096928914
46.67875648,663.4396692,0.181228638
44.88341969,680.6392683,0.063827515
44.88341969,680.6392683,0.205744425
39.73678756,715.224408,0.113245646
39.73678756,715.224408,0.199467977
30.87979275,765.0567598,0.153722127
30.87979275,765.0567598,0.23890686
22.5015544,811.9140459,0.225819906
22.5015544,811.9140459,0.159098307
17.71398964,842.8733241,0.184575399
17.71398964,842.8733241,0.141245524
42.48963731,951.8351084,0.217066447
42.48963731,951.8351084,0.220453898
110.5927461,1010.313745,0.211552938
110.5927461,1010.313745,0.234471639
125.553886,1017.007643,0.255411784
125.553886,1017.007643,0.181564331
142.7891192,1028.814935,0.269734701
142.7891192,1028.814935,0.163864136
167.0860104,1040.250345,0.319915771
167.0860104,1040.250345,0.126958211
262.3585492,1108.583887,0.294698079
262.3585492,1108.583887,0.200724284
289.7673575,1123.552186,0.28789266
289.7673575,1123.552186,0.176839193
315.1414508,1156.463852,0.244847616
315.1414508,1156.463852,0.116358439
339.438342,1187.516101,0.334030151
339.438342,1187.516101,0.193522135
353.0829016,1210.47989,0.198242188
353.0829016,1210.47989,0.301086426
389.5880829,1242.182934,0.247421265
389.5880829,1242.182934,0.185902913
414.1243523,1270.074176,0.204752604
414.1243523,1270.074176,0.162353516
442.7300518,1294.525498,0.148539225
442.7300518,1294.525498,0.17078654
474.2082902,1304.752287,0.219787598
474.2082902,1304.752287,0.182774862
498.7445596,1305.774966,0.32144165
498.7445596,1305.774966,0.234125773
524.1186528,1305.031199,0.165313721
524.1186528,1305.031199,0.196289063
548.6549223,1306.983586,0.158213298
548.6549223,1306.983586,0.16939799
566.8476684,1310.702418,0.190775553
566.8476684,1310.702418,0.195658366
595.6927461,1318.883849,0.139561971
595.6927461,1318.883849,0.21673584
623.1015544,1327.623105,0.147964478
623.1015544,1327.623105,0.243703206
641.8927461,1334.502944,0.105733236
641.8927461,1334.502944,0.136647542
665.2321244,1340.267134,0.192891439
665.2321244,1340.267134,0.267985026
692.042487,1346.031324,0.196848551
692.042487,1346.031324,0.294001261
717.8953368,1314.607192,0.228515625
717.8953368,1314.607192,0.199539185
