green,yy,xx
0.118301392,72.36085704,163.3756477
0.095621745,132.360857,163.3756477
0.114318848,94.7668212,159.5455959
0.074610392,154.7668212,159.5455959
0.200617472,149.3406841,147.3373057
0.09749349,209.3406841,147.3373057
0.221974691,171.0028818,143.7466321
0.15365092,231.0028818,143.7466321
0.221974691,171.0028818,143.7466321
0.15365092,231.0028818,143.7466321
0.131739299,215.907781,123.6388601
0.104426066,275.907781,123.6388601
0.105300903,241.1028693,110.7124352
0.152048747,301.1028693,110.7124352
0.100484212,269.7378775,104.3689119
0.202234904,329.7378775,104.3689119
0.1050059,294.7470242,103.5310881
0.20811971,354.7470242,103.5310881
0.127894084,319.1983461,98.26476684
0.198745728,379.1983461,98.26476684
0.137512207,340.6746022,94.43471503
0.169158936,400.6746022,94.43471503
0.187723796,368.3799023,89.64715026
0.241053263,428.3799023,89.64715026
0.125661214,559.4349079,61.04145078
0.364359538,619.4349079,61.04145078
0.126286825,576.0766821,57.69015544
0.306894938,636.0766821,57.69015544
0.083821615,613.2650044,51.58601036
0.183842977,673.2650044,51.58601036
0.096928914,633.4396692,46.67875648
0.181228638,693.4396692,46.67875648
0.063827515,650.6392683,44.88341969
0.205744425,710.6392683,44.88341969
0.113245646,685.224408,39.73678756
0.199467977,745.224408,39.73678756
0.153722127,735.0567598,30.87979275
0.23890686,795.0567598,30.87979275
0.225819906,781.9140459,22.5015544
0.159098307,841.9140459,22.5015544
0.184575399,812.8733241,17.71398964
0.141245524,872.8733241,17.71398964
0.217066447,951.8351084,57.48963731
0.220453898,951.8351084,27.48963731
0.211552938,1010.313745,125.5927461
0.234471639,1010.313745,95.59274611
0.255411784,1017.007643,140.553886
0.181564331,1017.007643,110.553886
0.269734701,1028.814935,157.7891192
0.163864136,1028.814935,127.7891192
0.319915771,1040.250345,182.0860104
0.126958211,1040.250345,152.0860104
0.294698079,1108.583887,277.3585492
0.200724284,1108.583887,247.3585492
0.28789266,1123.552186,304.7673575
0.176839193,1123.552186,274.7673575
0.244847616,1156.463852,330.1414508
0.116358439,1156.463852,300.1414508
0.334030151,1187.516101,354.438342
0.193522135,1187.516101,324.438342
0.198242188,1210.47989,368.0829016
0.301086426,1210.47989,338.0829016
0.247421265,1242.182934,404.5880829
0.185902913,1242.182934,374.5880829
0.204752604,1270.074176,429.1243523
0.162353516,1270.074176,399.1243523
0.148539225,1294.525498,457.7300518
0.17078654,1294.525498,427.7300518
0.219787598,1304.752287,489.2082902
0.182774862,1304.752287,459.2082902
0.32144165,1305.774966,513.7445596
0.234125773,1305.774966,483.7445596
0.165313721,1305.031199,539.1186528
0.196289063,1305.031199,509.1186528
0.158213298,1306.983586,563.6549223
0.16939799,1306.983586,533.6549223
0.190775553,1310.702418,581.8476684
0.195658366,1310.702418,551.8476684
0.139561971,1318.883849,610.6927461
0.21673584,1318.883849,580.6927461
0.147964478,1327.623105,638.1015544
0.243703206,1327.623105,608.1015544
0.105733236,1334.502944,656.8927461
0.136647542,1334.502944,626.8927461
0.192891439,1340.267134,680.2321244
0.267985026,1340.267134,650.2321244
0.196848551,1346.031324,707.042487
0.294001261,1346.031324,677.042487
0.228515625,1314.607192,732.8953368
0.199539185,1314.607192,702.8953368
0.134933472,1254.981205,726.0341969
0.209498088,1284.981205,726.0341969
0.096822103,1192.411853,737.165285
0.157450358,1222.411853,737.165285
0.177256266,1132.0738,746.7404145
0.151026408,1162.0738,746.7404145
0.192179362,1080.196091,755.1186528
0.177866618,1110.196091,755.1186528
0.287384033,964.7263501,774.388601
0.25487264,994.7263501,774.388601
0.287384033,964.7263501,774.388601
0.25487264,994.7263501,774.388601
0.31203715,896.3928079,788.2725389
0.047836304,926.3928079,788.2725389
0.273885091,869.4312743,790.3072539
0.089457194,899.4312743,790.3072539
0.21905009,839.7735873,794.3766839
0.055664063,869.7735873,794.3766839
0.236282349,804.3517103,798.9248705
0.046183268,834.3517103,798.9248705
0.132105509,758.4241323,806.2259067
0.057647705,788.4241323,806.2259067
0.187957764,722.7233429,811.8512953
0.031778971,752.7233429,811.8512953
0.055124919,705.2448315,815.2025907
0.065348307,735.2448315,815.2025907
0.102503459,684.0474878,819.511399
0.032786051,714.0474878,819.511399
0.074483236,662.8501441,822.0248705
0.028152466,692.8501441,822.0248705
0.10025533,641.9317128,827.2911917
0.036382039,671.9317128,827.2911917
0.088831584,614.7842376,831.1212435
0.041173299,644.7842376,831.1212435
0.075429281,595.0744268,834.1134715
0.028015137,625.0744268,834.1134715
0.124282837,571.6457837,837.7041451
0.031051636,601.6457837,837.7041451
0.248291016,517.2578624,846.0823834
0.035425822,547.2578624,846.0823834
0.248291016,517.2578624,846.0823834
0.035425822,547.2578624,846.0823834
0.17926534,459.4300213,856.4953368
0.134480794,489.4300213,856.4953368
0.141682943,421.776845,863.3176166
0.091369629,451.776845,863.3176166
0.057622274,381.613457,869.9005181
0.115493774,411.613457,869.9005181
0.06165568,331.2232803,878.5181347
0.067382813,361.2232803,878.5181347
0.057281494,257.8693146,890.1279793
0.069513957,287.8693146,890.1279793
0.26028951,195.485904,900.7803109
0.047108968,225.485904,900.7803109
0.207356771,157.5538153,906.4056995
0.121231079,187.5538153,906.4056995
0.223571777,108.6511715,914.7839378
0.089625041,138.6511715,914.7839378
0.30792745,89.99573988,903.2129534
0.145121257,89.99573988,873.2129534
0.254389445,75.12041098,863.4761658
0.061726888,75.12041098,833.4761658
0.174992879,64.61470994,828.526943
0.120925903,64.61470994,798.526943
0.246688843,72.33128681,801.5968912
0.07707723,72.33128681,771.5968912
0.208109538,88.04335296,769.4005181
