SalePrice, GrLivArea
163.3756477,102.360857
163.3756477,102.360857
159.5455959,124.7668212
159.5455959,124.7668212
147.3373057,179.3406841
147.3373057,179.3406841
143.7466321,201.0028818
143.7466321,201.0028818
143.7466321,201.0028818
143.7466321,201.0028818
123.6388601,245.907781
123.6388601,245.907781
110.7124352,271.1028693
110.7124352,271.1028693
104.3689119,299.7378775
104.3689119,299.7378775
103.5310881,324.7470242
103.5310881,324.7470242
98.26476684,349.1983461
98.26476684,349.1983461
94.43471503,370.6746022
94.43471503,370.6746022
89.64715026,398.3799023
89.64715026,398.3799023
61.04145078,589.4349079
61.04145078,589.4349079
57.69015544,606.0766821
57.69015544,606.0766821
51.58601036,643.2650044
51.58601036,643.2650044
46.67875648,663.4396692
46.67875648,663.4396692
44.88341969,680.6392683
44.88341969,680.6392683
39.73678756,715.224408
39.73678756,715.224408
30.87979275,765.0567598
30.87979275,765.0567598
22.5015544,811.9140459
22.5015544,811.9140459
17.71398964,842.8733241
17.71398964,842.8733241
42.48963731,951.8351084
42.48963731,951.8351084
110.5927461,1010.313745
110.5927461,1010.313745
125.553886,1017.007643
125.553886,1017.007643
142.7891192,1028.814935
142.7891192,1028.814935
167.0860104,1040.250345
167.0860104,1040.250345
262.3585492,1108.583887
262.3585492,1108.583887
289.7673575,1123.552186
289.7673575,1123.552186
315.1414508,1156.463852
315.1414508,1156.463852
339.438342,1187.516101
339.438342,1187.516101
353.0829016,1210.47989
353.0829016,1210.47989
389.5880829,1242.182934
389.5880829,1242.182934
414.1243523,1270.074176
414.1243523,1270.074176
442.7300518,1294.525498
442.7300518,1294.525498
474.2082902,1304.752287
474.2082902,1304.752287
498.7445596,1305.774966
498.7445596,1305.774966
524.1186528,1305.031199
524.1186528,1305.031199
548.6549223,1306.983586
548.6549223,1306.983586
566.8476684,1310.702418
566.8476684,1310.702418
595.6927461,1318.883849
595.6927461,1318.883849
623.1015544,1327.623105
623.1015544,1327.623105
641.8927461,1334.502944
641.8927461,1334.502944
665.2321244,1340.267134
665.2321244,1340.267134
692.042487,1346.031324
692.042487,1346.031324
717.8953368,1314.607192
717.8953368,1314.607192
726.0341969,1269.981205
726.0341969,1269.981205
737.165285,1207.411853
737.165285,1207.411853
746.7404145,1147.0738
746.7404145,1147.0738
755.1186528,1095.196091
755.1186528,1095.196091
774.388601,979.7263501
774.388601,979.7263501
774.388601,979.7263501
774.388601,979.7263501
788.2725389,911.3928079
788.2725389,911.3928079
790.3072539,884.4312743
790.3072539,884.4312743
794.3766839,854.7735873
794.3766839,854.7735873
798.9248705,819.3517103
798.9248705,819.3517103
806.2259067,773.4241323
806.2259067,773.4241323
811.8512953,737.7233429
811.8512953,737.7233429
815.2025907,720.2448315
815.2025907,720.2448315
819.511399,699.0474878
819.511399,699.0474878
822.0248705,677.8501441
822.0248705,677.8501441
827.2911917,656.9317128
827.2911917,656.9317128
831.1212435,629.7842376
831.1212435,629.7842376
834.1134715,610.0744268
834.1134715,610.0744268
837.7041451,586.6457837
837.7041451,586.6457837
846.0823834,532.2578624
846.0823834,532.2578624
846.0823834,532.2578624
846.0823834,532.2578624
856.4953368,474.4300213
856.4953368,474.4300213
863.3176166,436.776845
863.3176166,436.776845
869.9005181,396.613457
869.9005181,396.613457
878.5181347,346.2232803
878.5181347,346.2232803
890.1279793,272.8693146
890.1279793,272.8693146
900.7803109,210.485904
900.7803109,210.485904
906.4056995,172.5538153
906.4056995,172.5538153
914.7839378,123.6511715
914.7839378,123.6511715
888.2129534,89.99573988
888.2129534,89.99573988
848.4761658,75.12041098
848.4761658,75.12041098
813.526943,64.61470994
813.526943,64.61470994
786.5968912,72.33128681
786.5968912,72.33128681
754.4005181,88.04335296
754.4005181,88.04335296
723.2813472,101.5241198
723.2813472,101.5241198
678.3979275,106.2656309
678.3979275,106.2656309
623.7,101.8030322
623.7,101.8030322
575.8243523,98.549054
575.8243523,98.549054
524.3580311,94.27239694
524.3580311,94.27239694
463.5559585,89.06603183
463.5559585,89.06603183
411.1321244,84.78937477
411.1321244,84.78937477
349.0134715,77.0727979
349.0134715,77.0727979
304.1300518,73.35396567
304.1300518,73.35396567
249.4321244,68.61245458
249.4321244,68.61245458
205.0274611,63.59203107
205.0274611,63.59203107
226.8108808,1033.370505
226.8108808,1033.370505
212.0891192,951.556196
212.0891192,951.556196
156.673057,846.778098
156.673057,846.778098
279.9528497,748.6009272
279.9528497,748.6009272
273.8487047,625.9724345
273.8487047,625.9724345
385.1595855,777.6078186
385.1595855,777.6078186
462.957513,777.3289062
462.957513,777.3289062
461.2818653,700.8139331
461.2818653,700.8139331
480.3124352,853.3790252
480.3124352,853.3790252
422.9813471,918.3656183
422.9813471,918.3656183
395.0937824,1002.132314
395.0937824,1002.132314
354.9979275,1164.180429
354.9979275,1164.180429
397.2481865,1138.892369
397.2481865,1138.892369
447.6373057,1146.887859
447.6373057,1146.887859
450.3901554,1106.445558
450.3901554,1106.445558
492.7601036,1149.3051
492.7601036,1149.3051
512.7481865,1203.693021
512.7481865,1203.693021
512.7481865,1203.693021
512.7481865,1203.693021
530.2227979,1127.363989
530.2227979,1127.363989
610.653886,809.5897757
610.653886,809.5897757
622.6227979,778.9094098
622.6227979,778.9094098
643.9274611,765.428643
643.9274611,765.428643
673.8497409,771.0068914
673.8497409,771.0068914
698.1466321,775.004636
698.1466321,775.004636
732.8564767,780.0250595
732.8564767,780.0250595
751.6476684,783.7438917
751.6476684,783.7438917
778.4580311,786.7189575
778.4580311,786.7189575
642.1321244,146.2430773
642.1321244,146.2430773
624.8968912,207.9756923
624.8968912,207.9756923
594.9746114,278.2616214
594.9746114,278.2616214
584.3222798,330.6041849
584.3222798,330.6041849
625.3756477,359.0532515
625.3756477,359.0532515
650.2709845,422.3663701
650.2709845,422.3663701
611.0129534,503.6228543
611.0129534,503.6228543
612.688601,565.44844
612.688601,565.44844
395.0937824,137.1319384
395.0937824,137.1319384
433.1549223,161.676231
433.1549223,161.676231
433.1549223,161.676231
433.1549223,161.676231
522.3233161,169.6717203
522.3233161,169.6717203
562.0601036,149.9619095
562.0601036,149.9619095
428.7264249,230.102744
428.7264249,230.102744
441.4134715,229.173036
441.4134715,229.173036
178.4564767,212.2523493
178.4564767,212.2523493
217.953886,213.7398822
217.953886,213.7398822
271.6943005,226.1979702
271.6943005,226.1979702
309.1569948,229.7308608
309.1569948,229.7308608
